"item"	"rt"
8	735.638878336176
6	712.24551406689
2	693.351815538481
10	705.544417938218
4	715.066409436986
5	731.248169327155
4	708.353602765128
5	662.169625805691
4	718.448270810768
6	705.574596682563
10	686.970992060378
2	718.432166548446
4	686.487032724544
10	702.376943966374
3	719.74762824364
1	662.71176203154
2	713.047343967482
9	676.184713011608
10	682.405695402995
4	667.712551755831
1	696.695551099256
1	687.683233963326
1	685.181914875284
8	707.563681202009
6	667.09751102142
8	718.87240302749
10	703.278316548094
6	679.104399150237
9	694.39158863388
9	734.732055002823
2	662.005523303524
3	681.708257393911
1	674.488280070946
8	671.456561265513
7	718.915530135855
8	659.616791633889
5	729.918748261407
7	697.860060194507
7	681.615851251408
3	671.613283557817
3	719.648482529446
5	724.351229621097
6	681.995726423338
1	709.993577981368
6	703.55439552106
5	710.695610260591
2	671.962625952438
3	672.61296116747
5	714.002439202741
4	673.529917346314
10	681.705042878166
1	727.106711631641
7	671.001379238442
5	723.478748416528
5	701.150767328218
3	679.975211257115
6	672.711824895814
2	720.962073514238
7	667.150361714885
5	670.607576882467
8	698.552222615108
10	667.638032278046
2	723.67860252969
10	689.224185599014
1	708.681006738916
1	688.57661777176
4	731.931166620925
4	681.817370569333
4	705.975610380992
5	664.186732796952
10	675.732962256297
9	690.666114883497
9	687.763113128021
3	678.733249334618
2	701.07393453829
9	678.261353233829
8	738.174950117245
7	661.095718247816
2	663.493353286758
10	702.362996125594
6	707.068958552554
1	665.330391163006
8	703.774296725169
9	709.886816544458
7	688.643594188616
8	686.533539155498
6	663.076900904998
2	694.927815524861
3	698.287323834375
9	728.462343225256
3	733.801871249452
6	698.806624813005
7	662.3162421491
9	736.609768932685
7	663.508058330044
4	705.187849989161
8	663.246841197833
3	667.288963226601
7	712.294145124033
9	723.314113104716
