item rt subject trial
w1 703.972376324236 S001 1
w7 681.343801505864 S001 2
w4 713.223451524973 S001 3
w2 682.81379584223 S001 4
w4 683.840503245592 S001 5
w6 701.161011885852 S001 6
w5 714.197002723813 S001 7
w9 706.468183565885 S001 8
w9 684.264316018671 S001 9
w8 725.62616918236 S001 10
w6 649.254042636603 S001 11
w7 691.601162776351 S001 12
w4 688.362065311521 S001 13
w3 711.105221826583 S001 14
w5 656.627726685256 S001 15
w7 678.937527816743 S001 16
w7 691.982368417084 S001 17
w1 676.452436521649 S001 18
w2 691.475610714406 S001 19
w4 698.300658538938 S001 20
w6 702.568286228925 S001 21
w5 723.338160496205 S001 22
w3 688.573193326592 S001 23
w5 716.787827014923 S001 24
w1 690.548791401088 S001 25
w4 703.320260141045 S001 26
w9 719.453587569296 S001 27
w3 654.881836846471 S001 28
w1 712.006084788591 S001 29
w8 685.534948129207 S001 30
w10 691.621458642185 S001 31
w10 669.292154107243 S001 32
w2 722.787980195135 S001 33
w8 648.877989463508 S001 34
w9 693.218855820596 S001 35
w1 725.577286407351 S001 36
w1 714.884370751679 S001 37
w8 704.497480187565 S001 38
w3 699.919679127634 S001 39
w8 665.847786013037 S001 40
w2 691.221059653908 S001 41
w6 711.720753237605 S001 42
w2 677.718122135848 S001 43
w6 658.54791296646 S001 44
w2 688.684721961617 S001 45
w8 700.756308492273 S001 46
w3 652.186885084957 S001 47
w5 666.573238354176 S001 48
w10 724.96935095638 S001 49
w8 654.966424740851 S001 50
w9 668.256391044706 S001 51
w5 724.43379253149 S001 52
w1 667.459416296333 S001 53
w4 690.50166586414 S001 54
w6 708.513291534036 S001 55
w10 721.550946421921 S001 56
w7 683.942905869335 S001 57
w3 693.427494466305 S001 58
w3 667.003818731755 S001 59
w2 663.943340554833 S001 60
w10 690.203450303525 S001 61
w5 694.698240365833 S001 62
w3 656.839461997151 S001 63
w4 656.243591625243 S001 64
w10 669.558671303093 S001 65
w9 710.584691651165 S001 66
w1 714.041062165052 S001 67
w10 696.257274169475 S001 68
w4 685.880765262991 S001 69
w6 725.213005207479 S001 70
w6 711.67693676427 S001 71
w3 667.874616589397 S001 72
w7 662.95424181968 S001 73
w5 711.761534456164 S001 74
w9 656.312427707016 S001 75
w2 699.240182191133 S001 76
w7 692.034139931202 S001 77
w6 666.039689257741 S001 78
w6 713.477915599942 S001 79
w4 689.684291388839 S001 80
w10 718.279606103897 S001 81
w8 681.058171577752 S001 82
w9 682.120012771338 S001 83
w7 724.054297227412 S001 84
w10 711.375331673771 S001 85
w1 648.023314103484 S001 86
w9 661.331159826368 S001 87
w5 671.598312277347 S001 88
w2 650.416421312839 S001 89
w5 674.57972234115 S001 90
w4 692.175300959498 S001 91
w7 723.058518972248 S001 92
w3 648.632023818791 S001 93
w9 696.63739701733 S001 94
w7 665.719639901072 S001 95
w1 652.562827337533 S001 96
w8 717.171187475324 S001 97
w10 673.372974544764 S001 98
w8 674.799636341631 S001 99
w2 693.17672457546 S001 100
w8 706.370524982922 S002 1
w6 679.915126352571 S002 2
w5 697.150217308663 S002 3
w1 657.547790608369 S002 4
w5 659.443479343317 S002 5
w1 723.17929265555 S002 6
w5 698.670213981532 S002 7
w3 671.125160357915 S002 8
w9 733.847057274543 S002 9
w6 695.236465553753 S002 10
w9 691.117585650645 S002 11
w7 672.703125639819 S002 12
w7 711.881671338342 S002 13
w7 688.943314417265 S002 14
w1 661.84569306206 S002 15
w1 708.198866522871 S002 16
w8 658.774220342748 S002 17
w8 727.98100292217 S002 18
w8 711.657213917933 S002 19
w2 721.015691827051 S002 20
w9 717.885722494684 S002 21
w1 660.072120870464 S002 22
w4 681.562977223657 S002 23
w10 668.394081308506 S002 24
w4 689.954357906245 S002 25
w10 656.862161974423 S002 26
w5 723.006691108458 S002 27
w7 667.363398778252 S002 28
w2 663.966853315942 S002 29
w10 720.272098961286 S002 30
w8 711.087920530699 S002 31
w10 728.29699640628 S002 32
w6 688.983619748615 S002 33
w9 724.72434503492 S002 34
w1 734.551579444669 S002 35
w1 687.526995721273 S002 36
w9 676.558855767362 S002 37
w10 714.880086048506 S002 38
w3 678.05212946143 S002 39
w6 734.879523529671 S002 40
w4 710.850577405654 S002 41
w5 668.989236759953 S002 42
w4 709.63053537067 S002 43
w1 699.221325456165 S002 44
w2 702.178562036715 S002 45
w3 670.999499722384 S002 46
w3 709.327744948678 S002 47
w7 689.541436485015 S002 48
w2 697.81859473791 S002 49
w5 675.845276820473 S002 50
w10 665.442480626516 S002 51
w2 684.032624713145 S002 52
w4 728.641656725667 S002 53
w9 733.677919800393 S002 54
w2 667.61026778724 S002 55
w5 664.866181979887 S002 56
w4 673.007110129111 S002 57
w5 702.450736626051 S002 58
w8 734.229682548903 S002 59
w3 725.568600106053 S002 60
w6 733.908686819486 S002 61
w6 660.939693260007 S002 62
w10 711.48494433146 S002 63
w3 683.34986239206 S002 64
w3 699.516021306626 S002 65
w2 727.626140019856 S002 66
w7 725.368348448537 S002 67
w10 708.721628556959 S002 68
w8 734.46136567276 S002 69
w9 687.079201634042 S002 70
w3 682.210461678915 S002 71
w7 726.785511351191 S002 72
w4 677.942607454024 S002 73
w2 690.272631063126 S002 74
w6 676.361941597424 S002 75
w6 725.308057176881 S002 76
w8 697.335054534487 S002 77
w4 657.751062712632 S002 78
w1 674.732139757834 S002 79
w8 665.827970481478 S002 80
w5 678.613878092729 S002 81
w9 722.751217870973 S002 82
w10 717.20903206151 S002 83
w2 713.091030097567 S002 84
w5 657.733893445693 S002 85
w9 708.907507038675 S002 86
w3 672.016988168471 S002 87
w7 718.616858809255 S002 88
w7 671.102510276251 S002 89
w4 714.098372380249 S002 90
w4 721.22420612257 S002 91
w9 726.035354058258 S002 92
w8 707.214481416158 S002 93
w10 699.129617991857 S002 94
w2 732.079427405261 S002 95
w6 680.375235411339 S002 96
w3 702.176735731773 S002 97
w6 707.009512032382 S002 98
w7 702.544261547737 S002 99
w1 672.551956265233 S002 100
w9 703.009270783514 S003 1
