subject item rt trial string type age mean_simpleRT gender
S001 w1 703.972376324236 1 portò w 23 350 M
S001 w7 681.343801505864 2 sosca p 23 350 M
S001 w4 713.223451524973 3 senza w 23 350 M
S001 w2 682.81379584223 4 cane w 23 350 M
S001 w4 683.840503245592 5 senza w 23 350 M
S001 w6 701.161011885852 6 altru p 23 350 M
S001 w5 714.197002723813 7 scimmia w 23 350 M
S001 w9 706.468183565885 8 ol p 23 350 M
S001 w9 684.264316018671 9 ol p 23 350 M
S001 w8 725.62616918236 10 sulto p 23 350 M
S001 w6 649.254042636603 11 altru p 23 350 M
S001 w7 691.601162776351 12 sosca p 23 350 M
S001 w4 688.362065311521 13 senza w 23 350 M
S001 w3 711.105221826583 14 alla w 23 350 M
S001 w5 656.627726685256 15 scimmia w 23 350 M
S001 w7 678.937527816743 16 sosca p 23 350 M
S001 w7 691.982368417084 17 sosca p 23 350 M
S001 w1 676.452436521649 18 portò w 23 350 M
S001 w2 691.475610714406 19 cane w 23 350 M
S001 w4 698.300658538938 20 senza w 23 350 M
S001 w6 702.568286228925 21 altru p 23 350 M
S001 w5 723.338160496205 22 scimmia w 23 350 M
S001 w3 688.573193326592 23 alla w 23 350 M
S001 w5 716.787827014923 24 scimmia w 23 350 M
S001 w1 690.548791401088 25 portò w 23 350 M
S001 w4 703.320260141045 26 senza w 23 350 M
S001 w9 719.453587569296 27 ol p 23 350 M
S001 w3 654.881836846471 28 alla w 23 350 M
S001 w1 712.006084788591 29 portò w 23 350 M
S001 w8 685.534948129207 30 sulto p 23 350 M
S001 w10 691.621458642185 31 piro p 23 350 M
S001 w10 669.292154107243 32 piro p 23 350 M
S001 w2 722.787980195135 33 cane w 23 350 M
S001 w8 648.877989463508 34 sulto p 23 350 M
S001 w9 693.218855820596 35 ol p 23 350 M
S001 w1 725.577286407351 36 portò w 23 350 M
S001 w1 714.884370751679 37 portò w 23 350 M
S001 w8 704.497480187565 38 sulto p 23 350 M
S001 w3 699.919679127634 39 alla w 23 350 M
S001 w8 665.847786013037 40 sulto p 23 350 M
S001 w2 691.221059653908 41 cane w 23 350 M
S001 w6 711.720753237605 42 altru p 23 350 M
S001 w2 677.718122135848 43 cane w 23 350 M
S001 w6 658.54791296646 44 altru p 23 350 M
S001 w2 688.684721961617 45 cane w 23 350 M
S001 w8 700.756308492273 46 sulto p 23 350 M
S001 w3 652.186885084957 47 alla w 23 350 M
S001 w5 666.573238354176 48 scimmia w 23 350 M
S001 w10 724.96935095638 49 piro p 23 350 M
S001 w8 654.966424740851 50 sulto p 23 350 M
S001 w9 668.256391044706 51 ol p 23 350 M
S001 w5 724.43379253149 52 scimmia w 23 350 M
S001 w1 667.459416296333 53 portò w 23 350 M
S001 w4 690.50166586414 54 senza w 23 350 M
S001 w6 708.513291534036 55 altru p 23 350 M
S001 w10 721.550946421921 56 piro p 23 350 M
S001 w7 683.942905869335 57 sosca p 23 350 M
S001 w3 693.427494466305 58 alla w 23 350 M
S001 w3 667.003818731755 59 alla w 23 350 M
S001 w2 663.943340554833 60 cane w 23 350 M
S001 w10 690.203450303525 61 piro p 23 350 M
S001 w5 694.698240365833 62 scimmia w 23 350 M
S001 w3 656.839461997151 63 alla w 23 350 M
S001 w4 656.243591625243 64 senza w 23 350 M
S001 w10 669.558671303093 65 piro p 23 350 M
S001 w9 710.584691651165 66 ol p 23 350 M
S001 w1 714.041062165052 67 portò w 23 350 M
S001 w10 696.257274169475 68 piro p 23 350 M
S001 w4 685.880765262991 69 senza w 23 350 M
S001 w6 725.213005207479 70 altru p 23 350 M
S001 w6 711.67693676427 71 altru p 23 350 M
S001 w3 667.874616589397 72 alla w 23 350 M
S001 w7 662.95424181968 73 sosca p 23 350 M
S001 w5 711.761534456164 74 scimmia w 23 350 M
S001 w9 656.312427707016 75 ol p 23 350 M
S001 w2 699.240182191133 76 cane w 23 350 M
S001 w7 692.034139931202 77 sosca p 23 350 M
S001 w6 666.039689257741 78 altru p 23 350 M
S001 w6 713.477915599942 79 altru p 23 350 M
S001 w4 689.684291388839 80 senza w 23 350 M
S001 w10 718.279606103897 81 piro p 23 350 M
S001 w8 681.058171577752 82 sulto p 23 350 M
S001 w9 682.120012771338 83 ol p 23 350 M
S001 w7 724.054297227412 84 sosca p 23 350 M
S001 w10 711.375331673771 85 piro p 23 350 M
S001 w1 648.023314103484 86 portò w 23 350 M
S001 w9 661.331159826368 87 ol p 23 350 M
S001 w5 671.598312277347 88 scimmia w 23 350 M
S001 w2 650.416421312839 89 cane w 23 350 M
S001 w5 674.57972234115 90 scimmia w 23 350 M
S001 w4 692.175300959498 91 senza w 23 350 M
S001 w7 723.058518972248 92 sosca p 23 350 M
S001 w3 648.632023818791 93 alla w 23 350 M
S001 w9 696.63739701733 94 ol p 23 350 M
S001 w7 665.719639901072 95 sosca p 23 350 M
S001 w1 652.562827337533 96 portò w 23 350 M
S001 w8 717.171187475324 97 sulto p 23 350 M
S001 w10 673.372974544764 98 piro p 23 350 M
S001 w8 674.799636341631 99 sulto p 23 350 M
S001 w2 693.17672457546 100 cane w 23 350 M
S002 w8 706.370524982922 1 sulto p 21 400 M
S002 w6 679.915126352571 2 altru p 21 400 M
S002 w5 697.150217308663 3 scimmia w 21 400 M
S002 w1 657.547790608369 4 portò w 21 400 M
S002 w5 659.443479343317 5 scimmia w 21 400 M
S002 w1 723.17929265555 6 portò w 21 400 M
S002 w5 698.670213981532 7 scimmia w 21 400 M
S002 w3 671.125160357915 8 alla w 21 400 M
S002 w9 733.847057274543 9 ol p 21 400 M
S002 w6 695.236465553753 10 altru p 21 400 M
S002 w9 691.117585650645 11 ol p 21 400 M
S002 w7 672.703125639819 12 sosca p 21 400 M
S002 w7 711.881671338342 13 sosca p 21 400 M
S002 w7 688.943314417265 14 sosca p 21 400 M
S002 w1 661.84569306206 15 portò w 21 400 M
S002 w1 708.198866522871 16 portò w 21 400 M
S002 w8 658.774220342748 17 sulto p 21 400 M
S002 w8 727.98100292217 18 sulto p 21 400 M
S002 w8 711.657213917933 19 sulto p 21 400 M
S002 w2 721.015691827051 20 cane w 21 400 M
S002 w9 717.885722494684 21 ol p 21 400 M
S002 w1 660.072120870464 22 portò w 21 400 M
S002 w4 681.562977223657 23 senza w 21 400 M
S002 w10 668.394081308506 24 piro p 21 400 M
S002 w4 689.954357906245 25 senza w 21 400 M
S002 w10 656.862161974423 26 piro p 21 400 M
S002 w5 723.006691108458 27 scimmia w 21 400 M
S002 w7 667.363398778252 28 sosca p 21 400 M
S002 w2 663.966853315942 29 cane w 21 400 M
S002 w10 720.272098961286 30 piro p 21 400 M
S002 w8 711.087920530699 31 sulto p 21 400 M
S002 w10 728.29699640628 32 piro p 21 400 M
S002 w6 688.983619748615 33 altru p 21 400 M
S002 w9 724.72434503492 34 ol p 21 400 M
S002 w1 734.551579444669 35 portò w 21 400 M
S002 w1 687.526995721273 36 portò w 21 400 M
S002 w9 676.558855767362 37 ol p 21 400 M
S002 w10 714.880086048506 38 piro p 21 400 M
S002 w3 678.05212946143 39 alla w 21 400 M
S002 w6 734.879523529671 40 altru p 21 400 M
S002 w4 710.850577405654 41 senza w 21 400 M
S002 w5 668.989236759953 42 scimmia w 21 400 M
S002 w4 709.63053537067 43 senza w 21 400 M
S002 w1 699.221325456165 44 portò w 21 400 M
S002 w2 702.178562036715 45 cane w 21 400 M
S002 w3 670.999499722384 46 alla w 21 400 M
S002 w3 709.327744948678 47 alla w 21 400 M
S002 w7 689.541436485015 48 sosca p 21 400 M
S002 w2 697.81859473791 49 cane w 21 400 M
S002 w5 675.845276820473 50 scimmia w 21 400 M
S002 w10 665.442480626516 51 piro p 21 400 M
S002 w2 684.032624713145 52 cane w 21 400 M
S002 w4 728.641656725667 53 senza w 21 400 M
S002 w9 733.677919800393 54 ol p 21 400 M
S002 w2 667.61026778724 55 cane w 21 400 M
S002 w5 664.866181979887 56 scimmia w 21 400 M
S002 w4 673.007110129111 57 senza w 21 400 M
S002 w5 702.450736626051 58 scimmia w 21 400 M
S002 w8 734.229682548903 59 sulto p 21 400 M
S002 w3 725.568600106053 60 alla w 21 400 M
S002 w6 733.908686819486 61 altru p 21 400 M
S002 w6 660.939693260007 62 altru p 21 400 M
S002 w10 711.48494433146 63 piro p 21 400 M
S002 w3 683.34986239206 64 alla w 21 400 M
S002 w3 699.516021306626 65 alla w 21 400 M
S002 w2 727.626140019856 66 cane w 21 400 M
S002 w7 725.368348448537 67 sosca p 21 400 M
S002 w10 708.721628556959 68 piro p 21 400 M
S002 w8 734.46136567276 69 sulto p 21 400 M
S002 w9 687.079201634042 70 ol p 21 400 M
S002 w3 682.210461678915 71 alla w 21 400 M
S002 w7 726.785511351191 72 sosca p 21 400 M
S002 w4 677.942607454024 73 senza w 21 400 M
S002 w2 690.272631063126 74 cane w 21 400 M
S002 w6 676.361941597424 75 altru p 21 400 M
S002 w6 725.308057176881 76 altru p 21 400 M
S002 w8 697.335054534487 77 sulto p 21 400 M
S002 w4 657.751062712632 78 senza w 21 400 M
S002 w1 674.732139757834 79 portò w 21 400 M
